pay1,pay2,y
2.946793873,0.057996139,1
10.20212634,8.79816161,0
13.96223954,89.7942154,1
106.0905895,45.96987454,1
80.71348145,112.5754033,1
37.346985,33.01047252,0
6.511272369,15.18139379,0
24.32757254,52.37063012,0
98.05988688,41.2194186,1
11.55699085,80.15646369,1
74.01016074,28.10680875,0
45.99583146,101.5443115,1
59.1469599,75.77978734,0
61.35816978,50.2704237,0
4.763360593,64.560669,1
85.94552864,5.165920375,0
28.46994978,77.42361605,1
29.07909346,51.64427899,0
7.824464156,43.80165496,1
75.2380961,83.21840679,1
28.14175924,59.33850852,0
62.50911188,19.16129898,0
66.88860983,109.0248829,1
67.32865396,9.442370664,0
100.04864,25.1471556,1
70.60361184,9.354826329,0
54.71898125,84.43119784,1
87.70881866,69.72048261,1
29.38400682,49.15447707,0
29.4067195,7.204682011,0
62.63188903,32.93494894,0
41.45910718,6.413547153,0
102.7550921,8.51943076,1
102.0078437,10.24177456,1
15.3988349,76.76689445,1
45.60868412,97.76412041,1
80.34150323,12.39736813,0
50.72422055,48.33460621,0
78.37142319,82.94456565,1
26.39401257,72.67439532,0
16.10466306,27.49537421,0
5.39221245,24.30258715,1
59.91796868,17.05601401,0
100.2430084,69.40017268,1
5.897280348,78.10768049,1
105.8247311,24.66459461,1
19.44290057,96.67898636,1
7.794018481,10.39450881,0
110.321974,56.11113635,1
34.7450443,56.8557938,0
48.28418742,21.62496607,0
56.99773038,67.50010424,0
24.60796963,67.81051811,1
33.48504905,101.9841777,1
70.52524393,32.49888099,0
47.45157896,93.98929271,1
67.68448107,66.31103598,0
20.17220772,23.95493032,0
24.60635665,30.76280576,0
23.48802303,3.65813673,0
91.40684129,25.51025906,0
22.5789172,39.1480989,0
21.93542298,81.75806087,1
74.66277788,15.97886135,0
11.28055966,65.36346172,1
33.23996123,69.53901314,0
33.31225906,59.55566181,0
89.93258965,8.159676694,0
30.47328194,10.30649531,0
68.38276224,56.56903146,0
72.10709383,8.186418976,0
69.34638526,93.02069367,1
88.91460193,48.72742457,1
42.43267962,95.11076634,1
15.63989631,5.52122145,0
31.39221276,24.66447263,0
62.90909875,110.3210501,1
66.78362082,13.09973703,0
15.68438124,105.018683,1
58.09940662,82.04232403,1
37.21916147,80.90009575,1
57.42201875,8.077589076,0
20.47384232,12.11702114,0
32.23564448,10.57921012,0
12.24805232,103.6760603,1
37.21453495,67.92972115,0
93.05805895,5.409467306,0
21.08975307,47.91059127,0
8.463875814,49.76578828,1
2.839091224,0.056534193,1
49.09384818,76.55098294,0
31.52777482,67.95214653,0
111.0785679,21.74635469,1
54.67235777,39.57957578,0
5.399450013,11.29767351,0
110.0116493,99.79888093,1
45.82729862,13.92943926,0
71.16173197,8.25306135,0
80.29461978,82.87267744,1
67.26575406,37.1563975,0
23.56980045,115.2684158,1
41.48851654,48.57904516,0
30.2467678,47.89673671,0
32.57557695,78.70612268,1
40.63947988,83.29356361,1
104.064908,33.38026262,1
47.16227355,103.8735264,1
8.181358928,9.98272635,0
38.88615501,59.39554811,0
95.75361066,12.04823696,0
60.21722327,99.4470492,1
23.85895384,8.979732614,0
46.10848574,12.72278269,0
88.13993124,5.139630826,0
18.17494377,10.46862058,0
30.34620778,83.79386031,1
27.09000276,90.9409499,1
5.107458083,3.395834487,0
20.20644052,99.35512814,1
37.12266428,115.9341295,1
93.81333202,34.38276218,1
30.49919499,11.34477606,0
91.96483717,30.47600702,1
23.00395713,98.97869182,1
30.86027274,54.55298852,0
17.85845918,45.46544377,0
15.0969853,4.908209889,0
9.273557986,22.1609241,0
19.86359138,4.769107837,0
12.85586415,8.175707569,0
38.79320608,16.52026694,0
38.96060406,61.16967814,0
97.40472056,49.74329049,1
39.57199602,21.71899284,0
90.02585679,69.53015425,1
26.45520683,52.8947591,0
43.18769817,44.73513018,0
35.05473031,92.62063206,1
106.1137795,51.75414739,1
6.539139911,32.57687393,1
57.32352368,38.49864384,0
100.623322,48.34901852,1
13.36513004,21.76186385,0
42.24080911,6.489132232,0
6.235369815,33.98566876,0
43.1069541,79.47484817,0
61.6958005,19.36833251,0
33.63524745,92.91726165,1
79.45213235,6.394303103,0
45.12028913,67.00033221,0
21.44904534,95.26305185,1
79.8150528,45.47349977,0
40.87940604,12.10942781,0
29.79665262,27.21181755,0
27.91009345,60.40210309,0
3.202475763,95.93311012,1
18.64021437,6.917178143,0
50.69996825,105.3064003,1
55.15294209,6.749108778,0
47.25551052,71.8760537,0
55.36777905,98.04456293,1
97.91085191,108.4807261,1
70.16220388,89.99790068,1
25.89176835,87.89293921,1
72.6126292,68.76350911,1
68.12783773,77.88310983,1
15.86762339,57.56306731,1
39.75506346,84.75691762,1
56.01127099,27.63562647,0
70.11451355,63.36177211,0
48.12551542,56.00179313,0
45.41998152,44.34755225,0
71.51466926,15.54191958,0
51.39081255,102.5834088,1
78.97864951,7.025741625,0
51.00553331,8.524665291,0
58.26635493,61.49786945,0
101.077157,11.17843564,0
86.50936635,75.25012354,1
29.11507123,16.85335594,0
28.43415819,92.31882139,1
61.79777996,14.77043976,0
99.88098733,13.75172017,1
19.11141045,93.6460762,1
81.46015804,38.73664345,0
53.64125133,70.8169711,0
10.08650137,46.727925,1
60.95386131,7.774766389,0
10.29095455,47.38245142,1
48.33787258,70.84417581,0
27.13627612,41.34632851,0
78.59578115,96.33143316,1
64.98662285,78.79353932,1
19.95371543,5.192566594,0
31.30882239,96.83351411,1
72.17249097,8.149518457,0
79.08539616,12.44892957,0
13.16616312,46.8757214,1
14.36300909,35.51059533,0
11.61716622,18.32567633,0
3.854971013,52.4153453,1
82.8831172,70.61552644,1
90.38261318,7.873967365,0
29.9848583,5.723668199,0
50.55690165,104.4497661,1
52.91754649,46.57249913,0
27.43157421,19.39231937,0
48.93378573,12.78841903,0
49.08575438,103.1475746,1
51.76824228,62.22252607,0
20.35795224,70.50228573,1
63.17285962,23.64329822,0
89.24978855,41.75116617,0
